"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","10-Nov-2022","       3216.05","       3170.00","       3225.00","       3170.00","       3205.00","       3205.65","       3208.21","    1573092","          5046813082.00","     107924","     955330","         60.73"
"TCS","EQ","11-Nov-2022","       3205.65","       3269.60","       3341.60","       3255.05","       3315.00","       3315.95","       3315.61","    3265394","         10826779196.30","     196708","    2031567","         62.22"
"TCS","BL","14-Nov-2022","       3161.70","       3315.95","       3315.95","       3315.95","       3315.95","       3315.95","       3315.95","    1395939","          4628863927.05","          1","-","-"
"TCS","EQ","14-Nov-2022","       3315.95","       3324.00","       3349.00","       3309.00","       3332.00","       3335.50","       3332.83","    1342074","          4472908370.80","      95353","     774220","         57.69"
"TCS","EQ","15-Nov-2022","       3335.50","       3321.00","       3339.95","       3292.00","       3338.90","       3332.60","       3313.99","    1400708","          4641936509.75","      83190","     791681","         56.52"
"TCS","EQ","16-Nov-2022","       3332.60","       3338.90","       3367.90","       3321.45","       3360.00","       3355.35","       3353.20","    1748235","          5862175997.55","     103674","     765354","         51.89"
"TCS","EQ","17-Nov-2022","       3355.35","       3340.00","       3360.00","       3317.75","       3342.20","       3349.00","       3342.56","    1417986","          4739701185.90","      88776","     834384","         58.84"
"TCS","EQ","18-Nov-2022","       3349.00","       3350.00","       3362.75","       3321.00","       3343.50","       3343.45","       3340.88","    1164540","          3890590266.85","      76531","     661585","         56.81"
"TCS","EQ","21-Nov-2022","       3343.45","       3322.50","       3333.70","       3273.00","       3282.80","       3283.50","       3295.97","    1304194","          4298580759.95","      84298","     816050","         62.57"
"TCS","EQ","22-Nov-2022","       3283.50","       3280.00","       3318.95","       3255.25","       3311.00","       3314.95","       3287.74","    1149739","          3780048017.15","      70513","     636953","         55.40"
"TCS","EQ","23-Nov-2022","       3314.95","       3330.00","       3330.00","       3291.00","       3306.00","       3308.30","       3309.10","    1150011","          3805502589.00","      66618","     636807","         55.37"
"TCS","EQ","24-Nov-2022","       3308.30","       3316.25","       3392.95","       3308.30","       3383.00","       3380.15","       3355.29","    1296591","          4350438250.55","      79969","     723635","         55.81"
"TCS","EQ","25-Nov-2022","       3380.15","       3383.00","       3403.35","       3348.00","       3384.00","       3389.65","       3374.67","    1588981","          5362286252.40","     100208","     840407","         52.89"
"TCS","EQ","28-Nov-2022","       3389.65","       3366.00","       3417.00","       3365.55","       3392.00","       3395.25","       3395.48","    2195437","          7454568768.85","     112975","    1314425","         59.87"
"TCS","EQ","29-Nov-2022","       3395.25","       3383.00","       3429.00","       3383.00","       3390.00","       3397.35","       3411.59","    1576028","          5376768884.00","     125430","    1021300","         64.80"
"TCS","EQ","30-Nov-2022","       3397.35","       3383.00","       3414.90","       3375.00","       3401.00","       3390.80","       3394.24","    3410702","         11576734182.20","     130194","    2501862","         73.35"
